time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1795	1.33421	5.21989	0.209549	0.157891	radar	4.91476	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4102	1.41472	5.20355	0.228964	0.169782	lidar	1.46164	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6544	1.49672	5.18905	0.248337	0.182414	radar	5.16516	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8875	1.53446	5.17281	0.247895	0.173399	lidar	1.60559	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1494	1.58589	5.17987	0.250692	0.167397	radar	1.4286	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4232	1.63485	5.1948	0.251158	0.159203	lidar	1.39501	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6625	1.69492	5.18119	0.258688	0.159894	radar	1.51816	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8972	1.76194	5.17032	0.267771	0.161281	lidar	0.715508	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1477	1.84689	5.17609	0.281123	0.165875	radar	0.962617	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3921	1.88382	5.16778	0.276356	0.153312	lidar	0.832773	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6428	1.94476	5.17071	0.279297	0.147972	radar	0.745163	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8502	2.07255	5.15234	0.310829	0.172233	lidar	4.13949	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1047	2.16996	5.16733	0.32365	0.17455	radar	3.26569	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.3125	2.30665	5.15262	0.355491	0.197788	lidar	3.30418	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.5132	2.4445	5.12759	0.389264	0.224854	radar	12.4252	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7561	2.56177	5.13575	0.406612	0.230576	lidar	0.535748	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9814	2.67252	5.12857	0.423252	0.237048	radar	0.651496	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.206	2.82373	5.13337	0.452106	0.253622	lidar	0.855942	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4471	2.92738	5.14176	0.457892	0.2445	radar	0.97572	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6582	3.01741	5.12354	0.463787	0.239159	lidar	2.54107	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8837	3.1573	5.13098	0.483022	0.244446	radar	3.94448	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0867	3.3434	5.13448	0.521518	0.27016	lidar	1.88779	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.3018	3.49865	5.13535	0.546784	0.283455	radar	2.77978	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5085	3.68455	5.14356	0.580207	0.301902	lidar	1.26234	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7229	3.81616	5.14008	0.591845	0.29902	radar	0.790377	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9377	3.96845	5.1442	0.60877	0.300684	lidar	0.132783	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1405	4.1296	5.14025	0.632896	0.313475	radar	1.98152	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3332	4.3246	5.14721	0.664455	0.328502	lidar	0.867473	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5419	4.48227	5.15078	0.678389	0.325628	radar	0.516821	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7203	4.66205	5.14545	0.704052	0.335154	lidar	0.723079	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8869	4.86055	5.13477	0.744349	0.367186	radar	5.8571	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0499	5.08311	5.14067	0.782038	0.385447	lidar	1.18398	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2237	5.26224	5.13333	0.805146	0.393215	radar	2.11331	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3846	5.45424	5.12785	0.829806	0.398517	lidar	0.477234	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5443	5.64003	5.11725	0.855603	0.409774	radar	4.07102	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7375	5.78351	5.10743	0.855505	0.390942	lidar	1.64167	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8818	5.99516	5.10178	0.891392	0.413801	radar	2.38337	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0552	6.18315	5.10327	0.905082	0.406963	lidar	0.287874	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2008	6.39726	5.10356	0.93327	0.416808	radar	0.782505	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3247	6.62565	5.10302	0.966288	0.428471	lidar	0.735984	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4538	6.84756	5.10123	0.997344	0.441499	radar	0.6421	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.6051	7.00885	5.0791	1.00289	0.42801	lidar	3.48304	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7464	7.2213	5.08092	1.02028	0.422578	radar	0.131484	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9407	7.37206	5.06971	1.00903	0.393048	lidar	4.55875	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0274	7.60299	5.05735	1.05284	0.425394	radar	5.8466	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1236	7.84194	5.05753	1.08549	0.436138	lidar	0.719973	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2371	8.06331	5.05462	1.10796	0.437851	radar	0.484296	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3216	8.2783	5.03841	1.13533	0.444576	lidar	2.89343	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4132	8.5043	5.03264	1.15923	0.445198	radar	2.85362	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5118	8.67703	4.99757	1.1714	0.439186	lidar	8.24128	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5934	8.9073	4.99223	1.20078	0.450569	radar	1.36279	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7553	9.08012	4.97721	1.19074	0.42161	lidar	5.6755	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8192	9.32099	4.97408	1.22684	0.442057	radar	1.40011	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9531	9.52488	4.96917	1.22783	0.422837	lidar	2.61294	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9905	9.76969	4.96232	1.2728	0.455097	radar	3.85608	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0843	9.98707	4.95522	1.28528	0.446205	lidar	0.657526	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1358	10.2377	4.95961	1.31287	0.449278	radar	6.1946	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1912	10.4784	4.95873	1.33703	0.450935	lidar	0.0379812	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2026	10.7271	4.95323	1.38168	0.479881	radar	3.89635	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2673	10.9696	4.95663	1.39859	0.473021	lidar	0.649163	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2912	11.2236	4.96009	1.42795	0.47755	radar	4.44797	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3282	11.4535	4.95035	1.449	0.475911	lidar	0.569004	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.275	11.7102	4.94473	1.51468	0.53103	radar	12.6169	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3481	11.9404	4.94188	1.51928	0.511257	lidar	3.88195	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3637	12.1817	4.93888	1.53528	0.49458	radar	3.56497	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3586	12.4387	4.94474	1.5641	0.497683	lidar	0.237316	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3078	12.6848	4.94009	1.61633	0.535454	radar	4.45746	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3332	12.9192	4.93461	1.62944	0.523683	lidar	1.54723	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3134	13.1596	4.93089	1.65943	0.531249	radar	2.50004	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2779	13.3795	4.91331	1.68931	0.536136	lidar	2.55816	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2322	13.6196	4.91087	1.72003	0.539263	radar	1.56222	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2163	13.8617	4.91072	1.73908	0.532192	lidar	0.66996	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1547	14.0968	4.90734	1.77605	0.547171	radar	1.41442	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1051	14.3359	4.90699	1.8022	0.546133	lidar	0.0147691	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0284	14.5685	4.90447	1.83594	0.552847	radar	1.74006	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9285	14.8035	4.90642	1.87411	0.56201	lidar	1.22178	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8544	15.0288	4.90024	1.89791	0.554109	radar	3.73295	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8179	15.2505	4.88914	1.91173	0.543036	lidar	2.34903	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6854	15.4663	4.89024	1.97432	0.597726	radar	8.75978	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6452	15.6717	4.86968	1.98715	0.584941	lidar	4.60309	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5412	15.8862	4.86563	2.01772	0.586538	radar	1.73152	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4406	16.093	4.85708	2.04581	0.586416	lidar	0.411624	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3303	16.3063	4.85419	2.06845	0.57397	radar	1.90652	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2159	16.4895	4.83486	2.09916	0.577925	lidar	2.40494	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.0898	16.6928	4.83319	2.12999	0.581159	radar	0.472052	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
